Model;Layer;Seed;Epochs;Lipschitz;Lip capacity;Test accuracy;Adv 1;Adv2;Adv3;;;;;;
Lip2C2F;LipC2F;296;20;1;0.954038839;0.96509999;0.881200016;0.717800021;0.673099995;;;;;;
Lip2C2F;LipC2F;296;20;2;1.780360418;0.983299971;0.899800003;0.662800014;0.589399993;;;;;;
Lip2C2F;LipC2F;296;20;4;3.092395525;0.989199996;0.890299976;0.508700013;0.40990001;;;;;;
All2C2F;Orthogon;1;20;1;0.950621146;0.945900023;0.838400006;0.652899981;0.60619998;;;;;;
All2C2F;Sandwich;1;20;1;0.926117269;0.9727;0.905799985;0.765100002;0.717999995;;;;;;
Lip2C2F;LipC2F;1;20;1;0.95083327;0.966199994;0.882000029;0.721800029;0.675400019;;;;;;
All2C2F;Orthogon;123;20;1;0.966951269;0.944700003;0.836099982;0.649100006;0.599300027;;;;;;
All2C2F;Sandwich;123;20;1;0.894656577;0.973100007;0.907800019;0.770900011;0.726199985;;;;;;
Lip2C2F;LipC2F;123;20;1;0.950336787;0.966899991;0.884800017;0.725799978;0.684700012;;;;;;
All2C2F;Orthogon;296;20;1;0.962988023;0.945900023;0.838;0.653500021;0.607900023;;;;;;
All2C2F;Sandwich;296;20;1;0.922375818;0.972500026;0.902700007;0.759199977;0.716799974;;;;;;
Lip2C2F;LipC2F;296;20;1;0.954038839;0.96509999;0.881200016;0.717800021;0.673099995;;;;;;
All2C2F;Orthogon;1;20;2;1.780550702;0.976300001;0.889400005;0.66079998;0.584299982;;;;;;
All2C2F;Sandwich;1;20;2;1.690318897;0.988699973;0.930899978;0.742799997;0.671000004;;;;;;
Lip2C2F;LipC2F;1;20;2;1.75989372;0.983399987;0.900099993;0.652700007;0.576600015;;;;;;
All2C2F;Orthogon;123;20;2;1.721227836;0.976700008;0.89139998;0.654600024;0.575100005;;;;;;
All2C2F;Sandwich;123;20;2;1.693610537;0.989000022;0.932299972;0.740199983;0.674600005;;;;;;
Lip2C2F;LipC2F;123;20;2;1.568389778;0.979799986;0.894299984;0.66869998;0.601999998;;;;;;
All2C2F;Orthogon;296;20;2;1.729970408;0.977199972;0.892799973;0.665700018;0.586799979;;;;;;
All2C2F;Sandwich;296;20;2;1.724012883;0.988300025;0.929499984;0.737800002;0.671500027;;;;;;
Lip2C2F;LipC2F;296;20;2;1.780360418;0.983299971;0.899800003;0.662800014;0.589399993;;;;;;
All2C2F;Orthogon;1;20;4;2.931603377;0.988499999;0.898000002;0.577199996;0.473199993;;;;;;
All2C2F;Sandwich;1;20;4;2.967270493;0.992900014;0.926100016;0.629400015;0.539200008;;;;;;
Vanilla2C2F;Vanilla2C2F;1;20;4;190.2629451;0.990499973;0.721300006;0.630400002;0.606700003;;;;;;
AOL2C2F;AOL2C2F;1;20;4;2.889076602;0.959299982;0.778999984;0.365500003;0.296000004;;;;;;
Lip2C2F;LipC2F;1;20;4;3.081807678;0.987999976;0.884299994;0.487899989;0.387300014;;;;;;
Lip2C2FPool;LipC2FPool;1;20;4;3.120430161;0.983399987;0.817799985;0.336199999;0.259499997;;;;;;
All2C2F;Orthogon;123;20;4;2.760619035;0.986999989;0.89319998;0.542599976;0.442799985;;;;;;
All2C2F;Sandwich;123;20;4;2.905782683;0.993099988;0.926800013;0.639800012;0.546299994;;;;;;
Vanilla2C2F;Vanilla2C2F;123;20;4;225.24602;0.989099979;0.665899992;0.580799997;0.561399996;;;;;;
AOL2C2F;AOL2C2F;123;20;4;2.917908286;0.958700001;0.782599986;0.384799987;0.3046;;;;;;
Lip2C2F;LipC2F;123;20;4;3.155529582;0.988900006;0.882799983;0.4921;0.39230001;;;;;;
Lip2C2FPool;LipC2FPool;123;20;4;1.628804082;0.957499981;0.788299978;0.414900005;0.333799988;;;;;;
All2C2F;Orthogon;296;20;4;2.990545634;0.987800002;0.896200001;0.560800016;0.464399993;;;;;;
All2C2F;Sandwich;296;20;4;3.032685874;0.993099988;0.923500001;0.629999995;0.534500003;;;;;;
Vanilla2C2F;Vanilla2C2F;296;20;4;249.440358;0.991400003;0.698300004;0.646099985;0.619400024;;;;;;
AOL2C2F;AOL2C2F;296;20;4;3.009156717;0.960099995;0.783500016;0.360900015;0.288599998;;;;;;
Lip2C2F;LipC2F;296;20;4;3.092395525;0.989199996;0.890299976;0.508700013;0.40990001;;;;;;
Lip2C2FPool;LipC2FPool;296;20;4;2.615293632;0.9727;0.793600023;0.352899998;0.27700001;;;;;;
Lip2C2FPool;LipC2FPool;1;20;1;0.922137336;0.942700028;0.819599986;0.6171;0.560800016;;;;;;
Lip2C2FPool;LipC2FPool;1;20;2;1.739062325;0.97299999;0.852900028;0.546500027;0.444299996;;;;;;
AOL2C2F;AOL2C2F;1;20;1;0.935350561;0.887000024;0.70480001;0.489100009;0.443899989;;;;;;
AOL2C2F;AOL2C2F;1;20;2;1.718880527;0.92869997;0.754199982;0.458799988;0.369700015;;;;;;
Lip2C2FPool;LipC2FPool;123;20;1;0.625762379;0.896099985;0.736800015;0.532700002;0.488299996;;;;;;
Lip2C2FPool;LipC2FPool;123;20;2;0.812237404;0.917599976;0.751999974;0.516799986;0.4551;;;;;;
AOL2C2F;AOL2C2F;123;20;1;0.936135252;0.885900021;0.698400021;0.482800007;0.437099993;;;;;;
